--- Project directories are set up. ---
--- Starting HFS-GAN Training (v22.1 Multivariate) ---
Using device: cuda
Downloading data for multiple assets: ['^GSPC', '^IXIC', 'GC=F']...
Aligned data from 2000-08-30 to 2023-12-29
Data ready! 5787 valid multivariate paths extracted.
Epoch [44/10000] | C Loss: -3.7076 | G Loss: 416.2067 | Style Loss: 1.8888 | Corr Loss: 0.4527 | Time: 6.57s
Epoch [45/10000] | C Loss: -4.2782 | G Loss: 415.3754 | Style Loss: 1.8895 | Corr Loss: 0.4508 | Time: 6.55s
Epoch [46/10000] | C Loss: -4.3212 | G Loss: 441.6518 | Style Loss: 2.1015 | Corr Loss: 0.4603 | Time: 6.58s
Epoch [47/10000] | C Loss: -4.9498 | G Loss: 430.2819 | Style Loss: 1.9063 | Corr Loss: 0.4751 | Time: 6.57s
Epoch [48/10000] | C Loss: -5.2682 | G Loss: 440.0305 | Style Loss: 2.1545 | Corr Loss: 0.4447 | Time: 6.57s
Epoch [49/10000] | C Loss: -6.1315 | G Loss: 423.3265 | Style Loss: 1.8896 | Corr Loss: 0.4627 | Time: 6.56s
Epoch [50/10000] | C Loss: -5.9857 | G Loss: 411.7363 | Style Loss: 1.6878 | Corr Loss: 0.4789 | Time: 6.53s
Epoch [51/10000] | C Loss: -6.2876 | G Loss: 424.0098 | Style Loss: 1.8764 | Corr Loss: 0.4640 | Time: 6.55s
Epoch [52/10000] | C Loss: -6.8739 | G Loss: 448.7523 | Style Loss: 1.9540 | Corr Loss: 0.4973 | Time: 6.55s
Epoch [53/10000] | C Loss: -7.2066 | G Loss: 432.9570 | Style Loss: 1.9631 | Corr Loss: 0.4628 | Time: 6.56s
Epoch [54/10000] | C Loss: -7.4501 | G Loss: 393.4273 | Style Loss: 1.5217 | Corr Loss: 0.4720 | Time: 6.54s
Epoch [55/10000] | C Loss: -7.7680 | G Loss: 429.5695 | Style Loss: 1.9559 | Corr Loss: 0.4563 | Time: 6.54s
Epoch [56/10000] | C Loss: -8.0877 | G Loss: 398.3533 | Style Loss: 1.7075 | Corr Loss: 0.4432 | Time: 6.55s
Epoch [57/10000] | C Loss: -8.3320 | G Loss: 421.7513 | Style Loss: 1.7625 | Corr Loss: 0.4784 | Time: 6.53s
Epoch [58/10000] | C Loss: -8.6443 | G Loss: 428.5292 | Style Loss: 1.8015 | Corr Loss: 0.4854 | Time: 6.54s
Epoch [59/10000] | C Loss: -8.5300 | G Loss: 380.3448 | Style Loss: 1.5895 | Corr Loss: 0.4286 | Time: 6.55s
Epoch [60/10000] | C Loss: -8.9185 | G Loss: 386.5076 | Style Loss: 1.5483 | Corr Loss: 0.4497 | Time: 6.55s
Epoch [61/10000] | C Loss: -8.9481 | G Loss: 398.7335 | Style Loss: 1.7643 | Corr Loss: 0.4303 | Time: 6.58s
Epoch [62/10000] | C Loss: -9.1286 | G Loss: 426.7000 | Style Loss: 1.8992 | Corr Loss: 0.4590 | Time: 6.59s
Epoch [63/10000] | C Loss: -9.0311 | G Loss: 405.7753 | Style Loss: 1.8074 | Corr Loss: 0.4337 | Time: 6.58s
Epoch [64/10000] | C Loss: -9.0936 | G Loss: 422.7805 | Style Loss: 1.8168 | Corr Loss: 0.4669 | Time: 6.57s
Epoch [65/10000] | C Loss: -9.0253 | G Loss: 389.5218 | Style Loss: 1.5842 | Corr Loss: 0.4463 | Time: 6.58s
Epoch [66/10000] | C Loss: -9.1311 | G Loss: 413.1252 | Style Loss: 1.7279 | Corr Loss: 0.4646 | Time: 6.60s
Epoch [67/10000] | C Loss: -9.5299 | G Loss: 378.2446 | Style Loss: 1.5785 | Corr Loss: 0.4245 | Time: 6.60s
Epoch [68/10000] | C Loss: -9.4476 | G Loss: 398.8416 | Style Loss: 1.6226 | Corr Loss: 0.4573 | Time: 6.54s
Epoch [69/10000] | C Loss: -9.4647 | G Loss: 420.4099 | Style Loss: 1.8106 | Corr Loss: 0.4620 | Time: 6.56s
Epoch [70/10000] | C Loss: -9.3198 | G Loss: 405.1550 | Style Loss: 1.7759 | Corr Loss: 0.4380 | Time: 6.55s
Epoch [71/10000] | C Loss: -9.2857 | G Loss: 405.4843 | Style Loss: 1.7005 | Corr Loss: 0.4534 | Time: 6.59s
Epoch [72/10000] | C Loss: -9.3214 | G Loss: 407.2753 | Style Loss: 1.7428 | Corr Loss: 0.4483 | Time: 6.56s
Epoch [73/10000] | C Loss: -9.3012 | G Loss: 404.6089 | Style Loss: 1.7830 | Corr Loss: 0.4343 | Time: 6.56s
Epoch [74/10000] | C Loss: -9.6291 | G Loss: 394.2660 | Style Loss: 1.6658 | Corr Loss: 0.4385 | Time: 6.55s
Epoch [75/10000] | C Loss: -9.5778 | G Loss: 375.8129 | Style Loss: 1.5961 | Corr Loss: 0.4154 | Time: 6.54s
Epoch [76/10000] | C Loss: -9.3785 | G Loss: 400.4973 | Style Loss: 1.6549 | Corr Loss: 0.4526 | Time: 6.60s
Epoch [77/10000] | C Loss: -9.4201 | G Loss: 378.1721 | Style Loss: 1.6761 | Corr Loss: 0.4034 | Time: 6.58s
Epoch [78/10000] | C Loss: -9.4912 | G Loss: 393.5200 | Style Loss: 1.6140 | Corr Loss: 0.4475 | Time: 6.58s
Epoch [79/10000] | C Loss: -9.6694 | G Loss: 401.7944 | Style Loss: 1.8819 | Corr Loss: 0.4092 | Time: 6.57s
Epoch [80/10000] | C Loss: -9.5585 | G Loss: 373.7418 | Style Loss: 1.4936 | Corr Loss: 0.4308 | Time: 6.58s
Epoch [81/10000] | C Loss: -9.8238 | G Loss: 442.2910 | Style Loss: 1.9279 | Corr Loss: 0.4799 | Time: 6.62s
Epoch [82/10000] | C Loss: -9.7860 | G Loss: 434.5881 | Style Loss: 1.6973 | Corr Loss: 0.5109 | Time: 6.61s
Epoch [83/10000] | C Loss: -9.9494 | G Loss: 404.5394 | Style Loss: 1.6413 | Corr Loss: 0.4629 | Time: 6.62s
Epoch [84/10000] | C Loss: -9.5678 | G Loss: 408.0068 | Style Loss: 1.5817 | Corr Loss: 0.4804 | Time: 6.57s
Epoch [85/10000] | C Loss: -9.6962 | G Loss: 402.7501 | Style Loss: 1.5736 | Corr Loss: 0.4707 | Time: 6.60s
Epoch [86/10000] | C Loss: -9.9649 | G Loss: 400.1686 | Style Loss: 1.5930 | Corr Loss: 0.4609 | Time: 6.61s
Epoch [87/10000] | C Loss: -10.0740 | G Loss: 418.4554 | Style Loss: 1.6450 | Corr Loss: 0.4878 | Time: 6.61s
Epoch [88/10000] | C Loss: -10.0501 | G Loss: 391.3746 | Style Loss: 1.5570 | Corr Loss: 0.4523 | Time: 6.62s
Epoch [89/10000] | C Loss: -10.0284 | G Loss: 422.6103 | Style Loss: 1.8748 | Corr Loss: 0.4492 | Time: 6.60s
Epoch [90/10000] | C Loss: -10.1197 | G Loss: 445.4300 | Style Loss: 1.7527 | Corr Loss: 0.5196 | Time: 6.57s
Epoch [91/10000] | C Loss: -10.0866 | G Loss: 402.4237 | Style Loss: 1.5448 | Corr Loss: 0.4755 | Time: 6.57s
Epoch [92/10000] | C Loss: -10.1974 | G Loss: 393.3274 | Style Loss: 1.7878 | Corr Loss: 0.4092 | Time: 6.55s
