--- Project directories are set up. ---
--- Starting HFS-GAN Training (v24 Final Solution) ---
Using device: cuda
Downloading data for multiple assets: ['^GSPC', '^IXIC', 'GC=F']...
Aligned data from 2000-08-30 to 2023-12-29
Data ready! 5787 valid multivariate paths extracted.
Epoch [43/10000] | C Loss: -2.4243 | G Loss: 381.7370 | Vol Loss: 0.0262 | Corr Loss: 0.5400 | Time: 6.57s
Epoch [44/10000] | C Loss: -2.3630 | G Loss: 344.0513 | Vol Loss: 0.0245 | Corr Loss: 0.4750 | Time: 6.57s
Epoch [45/10000] | C Loss: -2.0710 | G Loss: 311.9190 | Vol Loss: 0.0249 | Corr Loss: 0.4013 | Time: 6.57s
Epoch [46/10000] | C Loss: -2.1554 | G Loss: 345.2580 | Vol Loss: 0.0249 | Corr Loss: 0.4861 | Time: 6.57s
Epoch [47/10000] | C Loss: -2.3002 | G Loss: 337.2941 | Vol Loss: 0.0238 | Corr Loss: 0.4534 | Time: 6.55s
Epoch [48/10000] | C Loss: -2.1461 | G Loss: 346.1471 | Vol Loss: 0.0251 | Corr Loss: 0.4812 | Time: 6.59s
Epoch [49/10000] | C Loss: -2.2841 | G Loss: 337.1741 | Vol Loss: 0.0252 | Corr Loss: 0.4739 | Time: 6.59s
Epoch [50/10000] | C Loss: -2.0380 | G Loss: 343.1249 | Vol Loss: 0.0257 | Corr Loss: 0.4880 | Time: 6.57s
Epoch [51/10000] | C Loss: -2.0533 | G Loss: 330.9858 | Vol Loss: 0.0239 | Corr Loss: 0.4660 | Time: 6.56s
Epoch [52/10000] | C Loss: -2.2114 | G Loss: 332.6714 | Vol Loss: 0.0246 | Corr Loss: 0.4413 | Time: 6.57s
Epoch [53/10000] | C Loss: -1.8769 | G Loss: 331.1194 | Vol Loss: 0.0245 | Corr Loss: 0.4717 | Time: 6.57s
Epoch [54/10000] | C Loss: -2.2431 | G Loss: 322.0434 | Vol Loss: 0.0250 | Corr Loss: 0.4600 | Time: 6.56s
Epoch [55/10000] | C Loss: -2.2983 | G Loss: 317.6561 | Vol Loss: 0.0248 | Corr Loss: 0.4433 | Time: 6.60s
Epoch [56/10000] | C Loss: -2.1015 | G Loss: 334.0567 | Vol Loss: 0.0249 | Corr Loss: 0.4686 | Time: 6.60s
Epoch [57/10000] | C Loss: -2.1170 | G Loss: 341.6202 | Vol Loss: 0.0245 | Corr Loss: 0.4787 | Time: 6.57s
Epoch [58/10000] | C Loss: -1.9172 | G Loss: 302.1627 | Vol Loss: 0.0247 | Corr Loss: 0.4088 | Time: 6.57s
Epoch [59/10000] | C Loss: -2.1647 | G Loss: 355.4988 | Vol Loss: 0.0243 | Corr Loss: 0.4926 | Time: 6.55s
Epoch [60/10000] | C Loss: -1.9993 | G Loss: 337.2615 | Vol Loss: 0.0237 | Corr Loss: 0.4594 | Time: 6.58s
Epoch [61/10000] | C Loss: -2.1423 | G Loss: 328.7567 | Vol Loss: 0.0242 | Corr Loss: 0.4551 | Time: 6.56s
Epoch [62/10000] | C Loss: -1.9405 | G Loss: 341.4170 | Vol Loss: 0.0233 | Corr Loss: 0.4729 | Time: 6.57s
Epoch [63/10000] | C Loss: -1.9548 | G Loss: 321.4528 | Vol Loss: 0.0245 | Corr Loss: 0.4477 | Time: 6.57s
Epoch [64/10000] | C Loss: -1.9326 | G Loss: 341.5373 | Vol Loss: 0.0241 | Corr Loss: 0.4548 | Time: 6.57s
Epoch [65/10000] | C Loss: -1.8158 | G Loss: 314.1024 | Vol Loss: 0.0237 | Corr Loss: 0.4327 | Time: 6.58s
Epoch [66/10000] | C Loss: -1.8941 | G Loss: 317.6458 | Vol Loss: 0.0238 | Corr Loss: 0.4477 | Time: 6.55s
Epoch [67/10000] | C Loss: -2.0219 | G Loss: 335.4081 | Vol Loss: 0.0232 | Corr Loss: 0.4561 | Time: 6.56s
Epoch [68/10000] | C Loss: -1.7028 | G Loss: 311.3421 | Vol Loss: 0.0241 | Corr Loss: 0.4263 | Time: 6.55s
Epoch [69/10000] | C Loss: -1.8265 | G Loss: 330.0031 | Vol Loss: 0.0234 | Corr Loss: 0.4523 | Time: 6.56s
Epoch [70/10000] | C Loss: -1.8456 | G Loss: 295.6317 | Vol Loss: 0.0239 | Corr Loss: 0.3979 | Time: 6.56s
Epoch [71/10000] | C Loss: -1.9770 | G Loss: 329.5800 | Vol Loss: 0.0240 | Corr Loss: 0.4553 | Time: 6.59s
Epoch [72/10000] | C Loss: -1.6701 | G Loss: 358.3200 | Vol Loss: 0.0240 | Corr Loss: 0.5021 | Time: 6.61s
Epoch [73/10000] | C Loss: -1.7219 | G Loss: 352.7485 | Vol Loss: 0.0234 | Corr Loss: 0.5108 | Time: 6.59s
Epoch [74/10000] | C Loss: -1.8009 | G Loss: 357.6000 | Vol Loss: 0.0236 | Corr Loss: 0.4939 | Time: 6.59s
Epoch [75/10000] | C Loss: -1.7212 | G Loss: 344.7928 | Vol Loss: 0.0241 | Corr Loss: 0.4744 | Time: 6.57s
Epoch [76/10000] | C Loss: -1.6311 | G Loss: 321.6567 | Vol Loss: 0.0231 | Corr Loss: 0.4592 | Time: 6.53s
Epoch [77/10000] | C Loss: -1.7837 | G Loss: 323.4576 | Vol Loss: 0.0239 | Corr Loss: 0.4385 | Time: 6.56s
Epoch [78/10000] | C Loss: -1.7720 | G Loss: 325.5532 | Vol Loss: 0.0237 | Corr Loss: 0.4556 | Time: 6.54s
Epoch [79/10000] | C Loss: -1.6069 | G Loss: 327.8579 | Vol Loss: 0.0238 | Corr Loss: 0.4560 | Time: 6.55s
Epoch [80/10000] | C Loss: -1.6293 | G Loss: 321.7269 | Vol Loss: 0.0238 | Corr Loss: 0.4524 | Time: 6.57s
