--- Project directories are set up. ---
--- Starting HFS-GAN Training (v22.1 Multivariate) ---
Using device: cuda
Downloading data for multiple assets: ['^GSPC', '^IXIC', 'GC=F']...
Aligned data from 2000-08-30 to 2023-12-29
Data ready! 5787 valid multivariate paths extracted.
Epoch [44/5000] | C Loss: -12.5304 | G Loss: 929.3409 | Style Loss: 1.5340 | Corr Loss: 0.5112 | Time: 6.64s
Epoch [45/5000] | C Loss: -12.3142 | G Loss: 836.7534 | Style Loss: 1.4398 | Corr Loss: 0.4195 | Time: 6.61s
Epoch [46/5000] | C Loss: -12.3086 | G Loss: 926.0586 | Style Loss: 1.5740 | Corr Loss: 0.4786 | Time: 6.60s
Epoch [47/5000] | C Loss: -12.6100 | G Loss: 896.1953 | Style Loss: 1.5404 | Corr Loss: 0.4518 | Time: 6.62s
Epoch [48/5000] | C Loss: -12.2990 | G Loss: 870.5581 | Style Loss: 1.5195 | Corr Loss: 0.4230 | Time: 6.62s
Epoch [49/5000] | C Loss: -12.2592 | G Loss: 874.7852 | Style Loss: 1.4906 | Corr Loss: 0.4493 | Time: 6.62s
Epoch [50/5000] | C Loss: -12.3148 | G Loss: 977.7928 | Style Loss: 1.7284 | Corr Loss: 0.4606 | Time: 6.62s
Epoch [51/5000] | C Loss: -12.3828 | G Loss: 929.2892 | Style Loss: 1.6812 | Corr Loss: 0.4125 | Time: 6.63s
Epoch [52/5000] | C Loss: -12.4301 | G Loss: 825.2473 | Style Loss: 1.4129 | Corr Loss: 0.4172 | Time: 6.62s
Epoch [53/5000] | C Loss: -12.4192 | G Loss: 829.6829 | Style Loss: 1.3747 | Corr Loss: 0.4502 | Time: 6.63s
Epoch [54/5000] | C Loss: -12.3949 | G Loss: 914.0827 | Style Loss: 1.5551 | Corr Loss: 0.4712 | Time: 6.64s
Epoch [55/5000] | C Loss: -12.3895 | G Loss: 790.0299 | Style Loss: 1.3052 | Corr Loss: 0.4315 | Time: 6.65s
Epoch [56/5000] | C Loss: -12.3863 | G Loss: 833.6422 | Style Loss: 1.3771 | Corr Loss: 0.4552 | Time: 6.63s
Epoch [57/5000] | C Loss: -12.3662 | G Loss: 888.8183 | Style Loss: 1.4374 | Corr Loss: 0.5076 | Time: 6.65s
Epoch [58/5000] | C Loss: -12.2323 | G Loss: 880.3392 | Style Loss: 1.4341 | Corr Loss: 0.4954 | Time: 6.67s
Epoch [59/5000] | C Loss: -12.1783 | G Loss: 860.7878 | Style Loss: 1.4739 | Corr Loss: 0.4362 | Time: 6.62s
Epoch [60/5000] | C Loss: -12.3975 | G Loss: 844.7360 | Style Loss: 1.4460 | Corr Loss: 0.4271 | Time: 6.62s
Epoch [61/5000] | C Loss: -12.2458 | G Loss: 818.4958 | Style Loss: 1.2958 | Corr Loss: 0.4829 | Time: 6.62s
Epoch [62/5000] | C Loss: -12.2366 | G Loss: 803.5542 | Style Loss: 1.3751 | Corr Loss: 0.4063 | Time: 6.62s
Epoch [63/5000] | C Loss: -12.3096 | G Loss: 913.5432 | Style Loss: 1.5063 | Corr Loss: 0.5008 | Time: 6.62s
Epoch [64/5000] | C Loss: -12.5391 | G Loss: 808.4540 | Style Loss: 1.3684 | Corr Loss: 0.4184 | Time: 6.64s
Epoch [65/5000] | C Loss: -12.4423 | G Loss: 840.0732 | Style Loss: 1.4261 | Corr Loss: 0.4328 | Time: 6.60s
Epoch [66/5000] | C Loss: -12.2841 | G Loss: 884.3949 | Style Loss: 1.4928 | Corr Loss: 0.4633 | Time: 6.56s
Epoch [67/5000] | C Loss: -12.3553 | G Loss: 970.8439 | Style Loss: 1.7114 | Corr Loss: 0.4592 | Time: 6.61s
Epoch [68/5000] | C Loss: -12.5885 | G Loss: 830.8594 | Style Loss: 1.4173 | Corr Loss: 0.4233 | Time: 6.59s
Epoch [69/5000] | C Loss: -12.4823 | G Loss: 865.6036 | Style Loss: 1.3926 | Corr Loss: 0.4981 | Time: 6.60s
Epoch [70/5000] | C Loss: -12.2080 | G Loss: 913.8420 | Style Loss: 1.6691 | Corr Loss: 0.3938 | Time: 6.63s
Epoch [71/5000] | C Loss: -12.3066 | G Loss: 835.8960 | Style Loss: 1.4064 | Corr Loss: 0.4384 | Time: 6.57s
Epoch [72/5000] | C Loss: -12.3902 | G Loss: 851.4845 | Style Loss: 1.4248 | Corr Loss: 0.4522 | Time: 6.64s
Epoch [73/5000] | C Loss: -12.1588 | G Loss: 742.2959 | Style Loss: 1.1968 | Corr Loss: 0.4219 | Time: 6.62s
Epoch [74/5000] | C Loss: -12.3723 | G Loss: 864.2635 | Style Loss: 1.5347 | Corr Loss: 0.3994 | Time: 6.65s
Epoch [75/5000] | C Loss: -12.1616 | G Loss: 855.7083 | Style Loss: 1.4568 | Corr Loss: 0.4374 | Time: 6.62s
